cohort	patient	note	n_cells	n_malignant	n_T	n_NK	n_T_NK	n_cldn4_high	n_cldn4_low	paired
GSE148071	P1	TISCH2	5302	3900	59	0	59	2234	1666	True
GSE148071	P10	TISCH2	3731	2610	48	0	48	1301	1309	True
GSE148071	P11	TISCH2	554	62	184	0	184	2	60	False
GSE148071	P12	TISCH2	839	75	132	0	132	67	8	False
GSE148071	P13	TISCH2	904	77	241	0	241	64	13	True
GSE148071	P14	TISCH2	1750	1356	31	0	31	230	1126	True
GSE148071	P15	TISCH2	2395	2226	2	0	2	1289	937	False
GSE148071	P16	TISCH2	1133	950	2	0	2	755	195	False
GSE148071	P17	TISCH2	7986	7901	0	0	0	2699	5202	False
GSE148071	P18	TISCH2	2979	1563	70	0	70	940	623	True
GSE148071	P19	TISCH2	287	117	30	0	30	80	37	True
GSE148071	P2	TISCH2	305	272	11	0	11	245	27	False
GSE148071	P20	TISCH2	425	395	4	0	4	346	49	False
GSE148071	P21	TISCH2	1966	1811	11	0	11	1199	612	False
GSE148071	P22	TISCH2	378	139	97	0	97	123	16	True
GSE148071	P23	TISCH2	2372	1777	50	0	50	486	1291	True
GSE148071	P24	TISCH2	252	27	73	0	73	17	10	True
GSE148071	P25	TISCH2	3459	3138	1	0	1	1672	1466	False
GSE148071	P26	TISCH2	130	24	44	0	44	19	5	False
GSE148071	P27	TISCH2	157	10	34	0	34	9	1	False
GSE148071	P28	TISCH2	2289	672	159	0	159	510	162	True
GSE148071	P29	TISCH2	969	815	4	0	4	234	581	False
GSE148071	P3	TISCH2	7588	7447	13	0	13	3057	4390	False
GSE148071	P30	TISCH2	742	573	4	0	4	230	343	False
GSE148071	P31	TISCH2	383	341	4	0	4	218	123	False
GSE148071	P32	TISCH2	459	164	55	0	55	159	5	False
GSE148071	P33	TISCH2	350	36	3	0	3	28	8	False
GSE148071	P34	TISCH2	959	423	16	0	16	205	218	False
GSE148071	P35	TISCH2	1039	7	62	0	62	6	1	False
GSE148071	P36	TISCH2	258	155	1	0	1	66	89	False
GSE148071	P37	TISCH2	2228	12	48	0	48	0	12	False
GSE148071	P38	TISCH2	1326	43	177	0	177	23	20	True
GSE148071	P39	TISCH2	1850	6	278	0	278	4	2	False
GSE148071	P4	TISCH2	4360	789	325	0	325	98	691	True
GSE148071	P40	TISCH2	711	101	283	0	283	73	28	True
GSE148071	P41	TISCH2	6193	5672	8	0	8	3763	1909	False
GSE148071	P42	TISCH2	691	243	289	0	289	7	236	False
GSE148071	P5	TISCH2	2353	1	22	0	22	0	1	False
GSE148071	P6	TISCH2	2752	1726	58	0	58	1294	432	True
GSE148071	P7	TISCH2	2679	149	1197	0	1197	31	118	True
GSE148071	P8	TISCH2	1294	245	187	0	187	231	14	True
GSE148071	P9	TISCH2	3490	68	67	0	67	46	22	True
