patient	cohort	unit	cldn4_pct	cldn4_mean	n_malignant	n_tnk	frac_tnk	quartile
BRONCHO_11	GSE131907	sample	80.78817733990148	1.8059599708830327	203	809	0.2545626179987413	Q2
BRONCHO_58	GSE131907	sample	72.17391304347827	1.426353336223562	460	1546	0.5495911837895485	Q2
EBUS_06	GSE131907	sample	71.16357504215851	1.3552293035869711	1186	611	0.2653061224489796	Q2
EBUS_10	GSE131907	sample	84.46866485013625	1.9049734855942484	367	1530	0.2974339035769829	Q3
EBUS_12	GSE131907	sample	88.32684824902724	2.3549040610356684	257	328	0.1052969502407704	Q3
EBUS_13	GSE131907	sample	0.2659574468085106	0.0018434765440424	376	1150	0.323943661971831	Q1
EBUS_15	GSE131907	sample	47.265625	1.1294928392821784	256	479	0.4334841628959276	Q1
EBUS_19	GSE131907	sample	94.00921658986177	2.4779035334230066	217	1427	0.6756628787878788	Q4
EBUS_28	GSE131907	sample	96.33620689655172	2.197978326433922	4640	232	0.0447703589347742	Q4
EBUS_49	GSE131907	sample	49.122807017543856	0.9512107328950752	114	1126	0.6343661971830986	Q1
EBUS_51	GSE131907	sample	85.36964980544747	1.581328884787959	1285	1143	0.3490076335877862	Q3
NS_02	GSE131907	sample	58.5635359116022	1.126727726322637	181	977	0.4223951578037181	Q1
NS_03	GSE131907	sample	93.14412089937338	2.264933208146411	2713	145	0.0484949832775919	Q4
NS_04	GSE131907	sample	89.34092758340114	1.9523515591538416	1229	131	0.0688025210084033	Q4
NS_06	GSE131907	sample	60.24096385542169	1.434511918266367	83	383	0.3579439252336449	Q1
NS_07	GSE131907	sample	90.407204385278	1.5931307483262624	5108	166	0.0289703315881326	Q4
NS_12	GSE131907	sample	86.33938100320171	1.728830943634575	2811	22	0.0069138906348208	Q3
NS_13	GSE131907	sample	72.41124260355029	0.9959480312401604	1352	1780	0.3673890608875129	Q2
NS_16	GSE131907	sample	11.39240506329114	0.1031375586066322	79	385	0.2923310554290053	Q1
NS_17	GSE131907	sample	88.21942446043165	2.300820123330216	1112	410	0.170195101701951	Q3
NS_19	GSE131907	sample	67.1523178807947	1.0082934839931024	755	370	0.1121212121212121	Q2
P0031	GSE205335	patient	59.24764890282132	0.9488405678584309	319	3824	0.5948973242065961	Q2
P1006	GSE205335	patient	74.18096723868955	1.3380774788530891	1282	2998	0.4922824302134647	Q3
P1015	GSE205335	patient	41.580756013745706	0.7684376084668274	291	473	0.3958158995815899	Q1
P1016	GSE205335	patient	82.64617691154422	1.4550707508198382	5336	763	0.1101964182553437	Q4
P1017	GSE205335	patient	64.31838975297347	1.4468339255966445	2186	2370	0.3782317267794446	Q3
P1018	GSE205335	patient	67.03389830508475	1.456712726949631	1180	2546	0.5062636707098827	Q3
P1025	GSE205335	patient	92.85714285714286	1.6940450124805284	980	128	0.1047463175122749	Q4
P1027	GSE205335	patient	78.07283763277694	2.119879172945015	1318	2619	0.5693478260869566	Q3
P1030	GSE205335	patient	61.69154228855721	1.6170852017252315	603	140	0.1626016260162601	Q3
P1037	GSE205335	patient	86.05284663579407	0.954375637171382	3671	611	0.1226168974513345	Q4
P1056	GSE205335	patient	49.70662196144174	0.8104878252251735	2386	1354	0.265334117185969	Q2
P1062	GSE205335	patient	45.21276595744681	0.9858522627525454	188	1934	0.6326463853451095	Q1
P1063	GSE205335	patient	35.11450381679389	0.736917035356666	131	3144	0.7316732604142425	Q1
P1072	GSE205335	patient	58.86699507389162	0.9359386543482128	406	586	0.4603299293008641	Q2
P1076	GSE205335	patient	59.36395759717315	0.9238031801089972	849	2089	0.2994982078853047	Q2
P1079	GSE205335	patient	51.38121546961326	0.9667483711478282	543	501	0.3923257635082224	Q2
P1084	GSE205335	patient	86.73469387755102	2.256213852289076	196	2350	0.6649688737973967	Q4
P1089	GSE205335	patient	87.77046095954844	2.151441746784373	1063	272	0.1690490988191423	Q4
P1090	GSE205335	patient	38.16254416961131	0.6880064512464571	566	247	0.2530737704918033	Q1
P1115	GSE205335	patient	88.8829928362961	1.6229821464124854	3769	271	0.0616329315442347	Q4
P1119	GSE205335	patient	36.08837970540098	0.5610693021147378	1222	621	0.2602682313495389	Q1
P4001	GSE205335	patient	48.14814814814815	0.7331695459652892	27	1801	0.7803292894280762	Q1
