sample	CLDN4	CD274	IFN	IFNG	IFN_sens	response	cohort	CLDN4_q	IFN_q	CD274_q	IFNG_q	cldn4_q4	ifn_q4	cd274_q4	ifn_q1	ifn_below_median	combo	ifn_low	combo_and_ifn_low	cldn4_q4_ifn_q4	cldn4_q4_cd274_q4	cldn4_q4_ifn_below_med	quadrant_label
Case1	5.818671644166626	3.668346088431239	-0.3632951951820235	0.0976107966264223	-0.5397906387714324		GSE285029	Q3	Q2	Q4	Q2	False	False	True	False	True	False	False	False	False	False	False	other
Case2	7.80238711453514	2.886940275785587	-0.486225133065634	0.0662614422687212	0.183609063285248		GSE285029	Q4	Q2	Q3	Q2	True	False	False	False	True	False	False	False	False	False	True	CLDN4 Q4 mid-IFN
Case3	0.0	4.667040559022988	0.7805642436744764	1.36513259345253	0.6830500027916443		GSE285029	Q1	Q4	Q4	Q4	False	True	True	False	False	False	False	False	False	False	False	other
Case4	0.0	1.3173040683619148	-1.3041532085161465	0.0565835283663675	-0.4541684036720793		GSE285029	Q1	Q1	Q1	Q2	False	False	False	True	True	False	False	False	False	False	False	other
Case5	6.436245141085422	1.658554260650898	-0.3903940525248593	0.0	0.2015379728770855		GSE285029	Q4	Q2	Q2	Q1	True	False	False	False	True	False	False	False	False	False	True	CLDN4 Q4 mid-IFN
Case6	4.976592762238586	0.0	-1.7377109779986473	0.01292617444427	-1.458411527305227		GSE285029	Q1	Q1	Q1	Q2	False	False	False	True	True	False	False	False	False	False	False	other
Case7	5.958007433164783	3.1396332051145333	0.5859978926891478	0.4552285711171388	0.8194395290206606		GSE285029	Q3	Q4	Q3	Q3	False	True	False	False	False	False	False	False	False	False	False	other
Case8	5.67702895563211	3.4486366970843303	-0.263345725737417	0.6852674065168417	-0.1879734879369413		GSE285029	Q2	Q2	Q3	Q3	False	False	False	False	True	False	False	False	False	False	False	other
Case9	6.617210310224668	3.25171909260596	0.6397375318918916	1.3328511220721542	0.3372595684199598		GSE285029	Q4	Q4	Q3	Q4	True	True	False	False	False	True	False	False	True	False	False	CLDN4 Q4 ∩ IFN/CD274 Q4
Case10	6.947163510212348	2.3928669162308	-0.1409262022357735	0.269033146455237	0.5051811409665946		GSE285029	Q4	Q2	Q2	Q3	True	False	False	False	True	False	False	False	False	False	True	CLDN4 Q4 mid-IFN
Case11	5.595891493782196	4.30209966857658	2.735813526830583	2.7443764071208268	1.0908173518420303		GSE285029	Q2	Q4	Q4	Q4	False	True	True	False	False	False	False	False	False	False	False	other
Case12	5.847646208889055	1.9967502788491844	0.7762725924716555	1.302757715638036	0.117055434967068		GSE285029	Q3	Q4	Q2	Q4	False	True	False	False	False	False	False	False	False	False	False	other
Case13	0.0	0.0412429822318813	-1.200047858255695	0.0028825085331213	-0.6210960657794671		GSE285029	Q1	Q1	Q1	Q2	False	False	False	True	True	False	False	False	False	False	False	other
Case14	6.8862574817303	0.5139959793670126	-0.8775975144562072	0.0028825085331213	-0.0595949954779963		GSE285029	Q4	Q1	Q1	Q2	True	False	False	True	True	False	True	False	False	False	True	CLDN4 Q4 ∩ IFN-low
Case15	6.195603512243348	3.0223678130284544	1.2712012785018318	0.7039866038634307	-0.0313321150770575		GSE285029	Q4	Q4	Q3	Q3	True	True	False	False	False	True	False	False	True	False	False	CLDN4 Q4 ∩ IFN/CD274 Q4
Case16	5.7623222366402524	1.2375637183176758	-0.6702567693762371	0.1544535926798724	-0.5206390424506894		GSE285029	Q2	Q1	Q1	Q2	False	False	False	True	True	False	False	False	False	False	False	other
Case17	5.155344470157856	2.830660974399763	0.0195907244127272	0.0299828662157143	0.2966417708492672		GSE285029	Q1	Q3	Q3	Q2	False	False	False	False	False	False	False	False	False	False	False	other
Case18	5.984338702477854	4.8433809207097935	1.1924919421029374	0.7039866038634307	0.963119446246494		GSE285029	Q3	Q4	Q4	Q3	False	True	True	False	False	False	False	False	False	False	False	other
Case19	5.908476687962545	1.3735090155180074	-0.1607880373098569	0.0	0.0500812542508293		GSE285029	Q3	Q2	Q1	Q1	False	False	False	False	True	False	False	False	False	False	False	other
Case20	6.306991278624	3.6818989832241136	1.1894918888411177	0.8567865462880808	0.5423439785192884		GSE285029	Q4	Q4	Q4	Q4	True	True	True	False	False	True	False	False	True	True	False	CLDN4 Q4 ∩ IFN/CD274 Q4
Case21	0.0	5.332242473065221	-0.9366244579761724	0.0	-0.978636664900047		GSE285029	Q1	Q1	Q4	Q1	False	False	True	True	True	False	False	False	False	False	False	other
