cohort	patient	n_cells	n_mal	n_tnk	mal_cldn4_mean	mal_cldn4_pct
GSE123902	LX255B	3886	228	1583	2.27137088469006	0.350877192982456
GSE123902	LX653	392	145	49	4.68727534603264	0.717241379310345
GSE123902	LX661	4566	117	3726	3.71313795949818	0.58974358974359
GSE123902	LX666	1316	786	177	3.07385000806711	0.67175572519084
GSE123902	LX675	3435	618	1336	1.79226835766318	0.313915857605178
GSE123902	LX676	4014	147	2606	2.76507224609523	0.421768707482993
GSE123902	LX679	2017	497	625	2.49462850015161	0.432595573440644
GSE123902	LX680	941	258	344	4.72233982712465	0.732558139534884
GSE123902	LX681	1630	1207	86	3.9881617770701	0.632974316487158
GSE123902	LX682	4092	421	2558	1.03944768961102	0.187648456057007
GSE123902	LX684	378	173	92	4.58521373016656	0.728323699421965
GSE123902	LX699	2671	46	2263	0.934773133915272	0.152173913043478
GSE123902	LX701	788	90	322	0.719866616545134	0.111111111111111
GSE131907	BRONCHO_11	3178	203	809	5.2186376484441	0.807881773399015
GSE131907	BRONCHO_58	2813	460	1546	3.87991038846333	0.721739130434783
GSE131907	EBUS_06	2303	1186	611	4.85588764791302	0.711635750421585
GSE131907	EBUS_10	5144	367	1530	5.08065114972206	0.844686648501362
GSE131907	EBUS_12	3115	257	328	4.8199120598294	0.883268482490272
GSE131907	EBUS_13	3550	376	1150	0.0147624232461752	0.00265957446808511
GSE131907	EBUS_15	1105	256	479	2.76794437473659	0.47265625
GSE131907	EBUS_19	2112	217	1427	6.21623570189846	0.940092165898618
GSE131907	EBUS_28	5182	4640	232	6.83427365912329	0.963362068965517
GSE131907	EBUS_49	1775	114	1126	3.05254829342269	0.491228070175439
GSE131907	EBUS_51	3275	1285	1143	5.24912036485717	0.853696498054475
GSE131907	NS_02	2313	181	977	4.07882306335515	0.585635359116022
GSE131907	NS_03	2990	2713	145	5.82886875317939	0.931441208993734
GSE131907	NS_04	1904	1229	131	5.67869402046685	0.893409275834011
GSE131907	NS_06	1070	83	383	3.73537215983121	0.602409638554217
GSE131907	NS_07	5730	5108	166	6.62930265710538	0.90407204385278
GSE131907	NS_12	3182	2811	22	5.60957815341735	0.863393810032017
GSE131907	NS_13	4845	1352	1780	4.74144090035516	0.724112426035503
GSE131907	NS_16	1317	79	385	0.483001704159293	0.113924050632911
GSE131907	NS_17	2409	1112	410	6.16393041925734	0.882194244604317
GSE131907	NS_19	3300	755	370	4.09904188807049	0.671523178807947
GSE205335	P0031	6428	319	3824	3.60204559178533	0.592476489028213
GSE205335	P1006	6090	1282	2998	5.00605273746381	0.741809672386895
GSE205335	P1015	1195	291	473	2.52963416614339	0.415807560137457
GSE205335	P1016	6924	5336	763	5.77669325206397	0.826461769115442
GSE205335	P1017	6266	2186	2370	4.23306275295363	0.643183897529735
GSE205335	P1018	5029	1180	2546	4.26268644991237	0.670338983050847
GSE205335	P1025	1222	980	128	6.37332552118627	0.928571428571429
GSE205335	P1027	4600	1318	2619	5.35671609774887	0.780728376327769
GSE205335	P1030	861	603	140	4.19308408575843	0.616915422885572
GSE205335	P1037	4983	3671	611	5.52968483517055	0.860528466357941
GSE205335	P1056	5103	2386	1354	3.52181196838024	0.497066219614417
GSE205335	P1062	3057	188	1934	3.05238543960455	0.452127659574468
GSE205335	P1063	4297	131	3144	2.46678280465614	0.351145038167939
GSE205335	P1072	1273	406	586	4.12344038951148	0.588669950738916
GSE205335	P1076	6975	849	2089	3.57397841358021	0.593639575971731
GSE205335	P1079	1277	543	501	2.90383609536821	0.513812154696133
GSE205335	P1084	3534	196	2350	5.49317249037201	0.86734693877551
GSE205335	P1089	1609	1063	272	6.86693028571273	0.877704609595484
GSE205335	P1090	976	566	247	2.05542525919483	0.381625441696113
GSE205335	P1115	4397	3769	271	6.85153709634368	0.888829928362961
GSE205335	P1119	2386	1222	621	2.0444644902344	0.36088379705401
GSE205335	P4001	2308	27	1801	3.11275141754894	0.481481481481481
GSE189357	TD1	15216	2186	9915	3.71950293474504	0.561299176578225
GSE189357	TD2	18064	1207	11334	2.43456480217155	0.356255178127589
GSE189357	TD3	12658	664	6525	3.25084631377341	0.480421686746988
GSE189357	TD4	11756	491	7096	2.00585676998905	0.303462321792261
GSE189357	TD5	19079	1736	11055	2.49501902051409	0.368663594470046
GSE189357	TD6	8999	1211	3392	4.38852549050532	0.635012386457473
GSE189357	TD7	3507	849	1851	2.49832963885636	0.366313309776207
GSE189357	TD8	15521	1019	7257	3.0115729386837	0.453385672227674
GSE189357	TD9	17573	4889	4345	5.69958758242194	0.785641235426468
