split	cohort	patient	method	pair7_sum
q4q1	GSE123902	LX255B	cellchat_hill	-0.05506112527709733
q4q1	GSE123902	LX255B	cellchat_hill_pop	-0.0017251909397039073
q4q1	GSE123902	LX255B	cellchat_prod	-0.047699155160143475
decile	GSE123902	LX255B	cellchat_hill	0.0
decile	GSE123902	LX255B	cellchat_hill_pop	0.0
decile	GSE123902	LX255B	cellchat_prod	0.0
q4q1	GSE123902	LX653	cellchat_hill	0.09808222182620216
q4q1	GSE123902	LX653	cellchat_hill_pop	0.011817296585029752
q4q1	GSE123902	LX653	cellchat_prod	0.13842163429456483
decile	GSE123902	LX653	cellchat_hill	0.0
decile	GSE123902	LX653	cellchat_hill_pop	0.0
decile	GSE123902	LX653	cellchat_prod	0.0
q4q1	GSE123902	LX661	cellchat_hill	0.7050699120766544
q4q1	GSE123902	LX661	cellchat_hill_pop	0.005320724534448681
q4q1	GSE123902	LX661	cellchat_prod	1.1504063730298553
decile	GSE123902	LX661	cellchat_hill	0.713402551456131
decile	GSE123902	LX661	cellchat_hill_pop	0.002081474187441483
decile	GSE123902	LX661	cellchat_prod	1.1529452910280835
q4q1	GSE123902	LX666	cellchat_hill	0.057992465229551246
q4q1	GSE123902	LX666	cellchat_hill_pop	0.006214073355788965
q4q1	GSE123902	LX666	cellchat_prod	0.09114751790785532
decile	GSE123902	LX666	cellchat_hill	0.07380948898843448
decile	GSE123902	LX666	cellchat_hill_pop	0.009189494043361612
decile	GSE123902	LX666	cellchat_prod	0.11802729740695268
q4q1	GSE123902	LX675	cellchat_hill	0.31760135138671886
q4q1	GSE123902	LX675	cellchat_hill_pop	0.024177193939663024
q4q1	GSE123902	LX675	cellchat_prod	0.4722263099080394
decile	GSE123902	LX675	cellchat_hill	0.43431034270157204
decile	GSE123902	LX675	cellchat_hill_pop	0.016650275236953543
decile	GSE123902	LX675	cellchat_prod	0.6466582579388246
q4q1	GSE123902	LX676	cellchat_hill	0.261460264197496
q4q1	GSE123902	LX676	cellchat_hill_pop	0.0034202784375262883
q4q1	GSE123902	LX676	cellchat_prod	0.37572977711286637
decile	GSE123902	LX676	cellchat_hill	0.4442469879645418
decile	GSE123902	LX676	cellchat_hill_pop	0.002336121345955256
decile	GSE123902	LX676	cellchat_prod	0.7055887842431953
q4q1	GSE123902	LX679	cellchat_hill	0.4224364927197791
q4q1	GSE123902	LX679	cellchat_hill_pop	0.042957069191413635
q4q1	GSE123902	LX679	cellchat_prod	0.5886247077495234
decile	GSE123902	LX679	cellchat_hill	0.3090795405846867
decile	GSE123902	LX679	cellchat_hill_pop	0.018107969770963593
decile	GSE123902	LX679	cellchat_prod	0.41912842512687765
q4q1	GSE123902	LX680	cellchat_hill	0.14244864088100978
q4q1	GSE123902	LX680	cellchat_hill_pop	0.014077084878789819
q4q1	GSE123902	LX680	cellchat_prod	0.18319102608761914
decile	GSE123902	LX680	cellchat_hill	0.29911654022013906
decile	GSE123902	LX680	cellchat_hill_pop	0.01657091297053
decile	GSE123902	LX680	cellchat_prod	0.419790156968857
q4q1	GSE123902	LX681	cellchat_hill	0.6023666617164548
q4q1	GSE123902	LX681	cellchat_hill_pop	0.03294192681261862
q4q1	GSE123902	LX681	cellchat_prod	0.8437016840754865
decile	GSE123902	LX681	cellchat_hill	0.606995267085206
decile	GSE123902	LX681	cellchat_hill_pop	0.05894266961796948
decile	GSE123902	LX681	cellchat_prod	0.8540304479596067
q4q1	GSE123902	LX682	cellchat_hill	0.09991945604336844
q4q1	GSE123902	LX682	cellchat_hill_pop	0.0035027386035868663
q4q1	GSE123902	LX682	cellchat_prod	0.05479984928174328
decile	GSE123902	LX682	cellchat_hill	0.30691598429817546
decile	GSE123902	LX682	cellchat_hill_pop	0.004723932802876663
decile	GSE123902	LX682	cellchat_prod	0.3568663275426589
